number;path
1;2;graphics\dudes\Hit\Hit1.png
2;2;graphics\dudes\Hit\Hit2.png
3;2;graphics\dudes\Hit\Hit3.png
4;2;graphics\dudes\Hit\Hit4.png
5;___________________Main_character________________________
6;graphics\dudes\MainCharacter\NothingVariation\Vibing\MainHeroNothigVibing1.png
7;graphics\dudes\MainCharacter\NothingVariation\Vibing\MainHeroNothigVibing2.png
8;graphics\dudes\MainCharacter\NothingVariation\Going\MainHeroNothigGoing1.png
9;graphics\dudes\MainCharacter\NothingVariation\Going\MainHeroNothigGoing2.png
10;graphics\dudes\MainCharacter\NothingVariation\Going\MainHeroNothigGoing3.png
11;graphics\dudes\MainCharacter\NothingVariation\Going\MainHeroNothigGoing4.png
12;graphics\dudes\MainCharacter\NothingVariation\Going\MainHeroNothigGoing5.png
13;graphics\dudes\MainCharacter\NothingVariation\Punch\MainHeroNothingPunch1.png
14;graphics\dudes\MainCharacter\NothingVariation\Punch\MainHeroNothingPunch2.png
15;graphics\dudes\MainCharacter\NothingVariation\Punch\MainHeroNothingPunch3.png
16;graphics\dudes\MainCharacter\NothingVariation\Punch\MainHeroNothingPunch4.png
17;graphics\dudes\MainCharacter\NothingVariation\Punch\MainHeroNothingPunch5.png
18;graphics\dudes\MainCharacter\NothingVariation\Punch\MainHeroNothingPunch6.png
19;graphics\dudes\MainCharacter\NothingVariation\Punch\MainHeroNothingPunch7.png
